CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F215,
,,,,,Age : Age 16 and over - Qualifications gained [E][W] : No qualifications - Unit : Persons,
25650,E01006553,Liverpool 042A,Lower Super Output Areas and Data Zones,LSOADZ,146,
25651,E01006554,Liverpool 048F,Lower Super Output Areas and Data Zones,LSOADZ,143,
25652,E01006556,Liverpool 039B,Lower Super Output Areas and Data Zones,LSOADZ,586,
25653,E01006557,Liverpool 038B,Lower Super Output Areas and Data Zones,LSOADZ,143,
25654,E01006558,Liverpool 018B,Lower Super Output Areas and Data Zones,LSOADZ,493,
25655,E01006560,Liverpool 023A,Lower Super Output Areas and Data Zones,LSOADZ,819,
25656,E01006562,Liverpool 018E,Lower Super Output Areas and Data Zones,LSOADZ,523,
25657,E01006563,Liverpool 024B,Lower Super Output Areas and Data Zones,LSOADZ,726,
25658,E01006564,Liverpool 023B,Lower Super Output Areas and Data Zones,LSOADZ,698,
25659,E01006565,Liverpool 029A,Lower Super Output Areas and Data Zones,LSOADZ,454,
25660,E01006566,Liverpool 032A,Lower Super Output Areas and Data Zones,LSOADZ,318,
25661,E01006567,Liverpool 026A,Lower Super Output Areas and Data Zones,LSOADZ,584,
25662,E01006568,Liverpool 026B,Lower Super Output Areas and Data Zones,LSOADZ,349,
25663,E01006569,Liverpool 029B,Lower Super Output Areas and Data Zones,LSOADZ,493,
25664,E01006570,Liverpool 026C,Lower Super Output Areas and Data Zones,LSOADZ,299,
25665,E01006571,Liverpool 026D,Lower Super Output Areas and Data Zones,LSOADZ,507,
25666,E01006572,Liverpool 025A,Lower Super Output Areas and Data Zones,LSOADZ,380,
25667,E01006573,Liverpool 029C,Lower Super Output Areas and Data Zones,LSOADZ,458,
25668,E01006574,Liverpool 025B,Lower Super Output Areas and Data Zones,LSOADZ,412,
25669,E01006575,Liverpool 034A,Lower Super Output Areas and Data Zones,LSOADZ,315,
25670,E01006576,Liverpool 034B,Lower Super Output Areas and Data Zones,LSOADZ,297,
25671,E01006577,Liverpool 034C,Lower Super Output Areas and Data Zones,LSOADZ,224,
25672,E01006578,Liverpool 036A,Lower Super Output Areas and Data Zones,LSOADZ,234,
25673,E01006579,Liverpool 034D,Lower Super Output Areas and Data Zones,LSOADZ,263,
25674,E01006580,Liverpool 036B,Lower Super Output Areas and Data Zones,LSOADZ,159,
25675,E01006581,Liverpool 036C,Lower Super Output Areas and Data Zones,LSOADZ,183,
25676,E01006582,Liverpool 041A,Lower Super Output Areas and Data Zones,LSOADZ,170,
25677,E01006583,Liverpool 047C,Lower Super Output Areas and Data Zones,LSOADZ,134,
25678,E01006584,Liverpool 034E,Lower Super Output Areas and Data Zones,LSOADZ,261,
25679,E01006585,Liverpool 032B,Lower Super Output Areas and Data Zones,LSOADZ,463,
25680,E01006586,Liverpool 032C,Lower Super Output Areas and Data Zones,LSOADZ,466,
25681,E01006587,Liverpool 032D,Lower Super Output Areas and Data Zones,LSOADZ,331,
25682,E01006588,Liverpool 042C,Lower Super Output Areas and Data Zones,LSOADZ,242,
25683,E01006589,Liverpool 041B,Lower Super Output Areas and Data Zones,LSOADZ,218,
25684,E01006590,Liverpool 042D,Lower Super Output Areas and Data Zones,LSOADZ,176,
25685,E01006591,Liverpool 041C,Lower Super Output Areas and Data Zones,LSOADZ,159,
25686,E01006592,Liverpool 041D,Lower Super Output Areas and Data Zones,LSOADZ,142,
25687,E01006593,Liverpool 042E,Lower Super Output Areas and Data Zones,LSOADZ,155,
25688,E01006594,Liverpool 047D,Lower Super Output Areas and Data Zones,LSOADZ,146,
25689,E01006595,Liverpool 049B,Lower Super Output Areas and Data Zones,LSOADZ,286,
25690,E01006596,Liverpool 049C,Lower Super Output Areas and Data Zones,LSOADZ,215,
25691,E01006597,Liverpool 041E,Lower Super Output Areas and Data Zones,LSOADZ,169,
25692,E01006598,Liverpool 010A,Lower Super Output Areas and Data Zones,LSOADZ,505,
25693,E01006599,Liverpool 010B,Lower Super Output Areas and Data Zones,LSOADZ,341,
25694,E01006600,Liverpool 011A,Lower Super Output Areas and Data Zones,LSOADZ,493,
