CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
25615,E01006518,Liverpool 044A,Lower Super Output Areas and Data Zones,LSOADZ,1696,
25616,E01006519,Liverpool 056A,Lower Super Output Areas and Data Zones,LSOADZ,1286,
25617,E01006520,Liverpool 043A,Lower Super Output Areas and Data Zones,LSOADZ,1706,
25618,E01006521,Liverpool 052A,Lower Super Output Areas and Data Zones,LSOADZ,1660,
25619,E01006522,Liverpool 048A,Lower Super Output Areas and Data Zones,LSOADZ,1731,
25620,E01006523,Liverpool 052B,Lower Super Output Areas and Data Zones,LSOADZ,1508,
25621,E01006524,Liverpool 048B,Lower Super Output Areas and Data Zones,LSOADZ,2431,
25622,E01006525,Liverpool 049A,Lower Super Output Areas and Data Zones,LSOADZ,1209,
25623,E01006526,Liverpool 048C,Lower Super Output Areas and Data Zones,LSOADZ,1404,
25624,E01006527,Liverpool 053A,Lower Super Output Areas and Data Zones,LSOADZ,1454,
25625,E01006528,Liverpool 052C,Lower Super Output Areas and Data Zones,LSOADZ,1461,
25626,E01006529,Liverpool 048D,Lower Super Output Areas and Data Zones,LSOADZ,1304,
25627,E01006530,Liverpool 055A,Lower Super Output Areas and Data Zones,LSOADZ,1431,
25628,E01006531,Liverpool 055B,Lower Super Output Areas and Data Zones,LSOADZ,1458,
25629,E01006532,Liverpool 047A,Lower Super Output Areas and Data Zones,LSOADZ,1557,
25630,E01006533,Liverpool 055C,Lower Super Output Areas and Data Zones,LSOADZ,1408,
25631,E01006534,Liverpool 054A,Lower Super Output Areas and Data Zones,LSOADZ,1542,
25632,E01006535,Liverpool 054B,Lower Super Output Areas and Data Zones,LSOADZ,1639,
25633,E01006536,Liverpool 054C,Lower Super Output Areas and Data Zones,LSOADZ,1848,
25634,E01006537,Liverpool 055D,Lower Super Output Areas and Data Zones,LSOADZ,2257,
25635,E01006538,Liverpool 055E,Lower Super Output Areas and Data Zones,LSOADZ,1318,
